model_run,psnr,ssim,lpips,drmse,compute_time,psnr_diff_from_baseline_nuscene_old,psnr_diff_from_baseline_nuscene_old_1,psnr_diff_from_baseline_nuscene_adjusted,psnr_diff_from_baseline_nuscene_adjusted_1
baseline_nuscene_adjusted,16.677620601654052,0.5492693901062011,0.49423226416110994,7.547664823255597,1.2517101287841796,0.17656164169311594,-0.49455242156982493,0.0,-0.5866174697875977
baseline_nuscene_adjusted_1,17.26423807144165,0.5653205037117004,0.47064573466777804,7.401622586538592,2.6873489379882813,0.7631791114807136,0.09206504821777273,0.5866174697875977,0.0
baseline_nuscene_old,16.501058959960936,0.5411692321300506,0.4962356507778168,7.8911635836538165,1.1599985122680665,0.0,-0.6711140632629409,-0.17656164169311594,-0.7631791114807136
baseline_nuscene_old_1,17.172173023223877,0.5579174607992172,0.47150667011737823,7.586975752701099,2.4427531957626343,0.6711140632629409,0.0,0.49455242156982493,-0.09206504821777273
nuscene_adjusted_fov-25,12.749520778656006,0.43045457303524015,0.5968856930732727,8.808106683700963,1.0364943265914917,-3.75153818130493,-4.422652244567871,-3.928099822998046,-4.514717292785644
nuscene_adjusted_fov-25_1,13.92162446975708,0.4440578490495682,0.570142924785614,10.522869563446687,2.1327017068862917,-2.5794344902038553,-3.250548553466796,-2.7559961318969712,-3.342613601684569
nuscene_adjusted_fov65_config,16.884197330474855,0.5566540390253067,0.4893698036670685,7.329713001614168,1.2198169231414795,0.38313837051391886,-0.287975692749022,0.2065767288208029,-0.38004074096679474
nuscene_adjusted_fov65_config_1,17.48697986602783,0.57239029109478,0.4641344159841537,7.297265876104868,2.6722295761108397,0.9859209060668945,0.31480684280395366,0.8093592643737786,0.22274179458618093
nuscene_adjusted_height_900,16.576229858398438,0.5426165729761123,0.49935452044010165,7.830177420009458,1.214241361618042,0.07517089843750213,-0.5959431648254387,-0.10139074325561381,-0.6880082130432115
nuscene_adjusted_height_900_1,17.18852119445801,0.5559658885002137,0.4761483371257782,7.800213078261469,2.601323199272156,0.6874622344970724,0.01634817123413157,0.5109005928039565,-0.07571687698364116
nuscene_adjusted_pitch+std,16.241271591186525,0.5228963941335678,0.5061840862035751,7.273051210573439,1.23290913105011,-0.2597873687744112,-0.9309014320373521,-0.43634901046752717,-1.0229664802551248
nuscene_adjusted_pitch+std_1,16.88756856918335,0.5387294322252274,0.4816326260566711,7.480479536055078,2.6119701623916627,0.38650960922241495,-0.2846044540405259,0.209947967529299,-0.37666950225829865
nuscene_adjusted_roll+std,16.715555667877197,0.5479234874248504,0.49572322964668275,7.8643386377541,1.2463783740997314,0.2144967079162612,-0.4566173553466797,0.03793506622314524,-0.5486824035644524
nuscene_adjusted_roll+std_1,17.312424087524413,0.5647815078496933,0.4711907535791397,7.814348702268535,2.6659755945205688,0.8113651275634766,0.1402510643005357,0.6348034858703606,0.04818601608276296
nuscene_adjusted_x+std,16.721608543395995,0.5442441016435623,0.4960957258939743,7.801760838882641,1.2380418062210083,0.2205495834350586,-0.4505644798278823,0.04398794174194265,-0.542629528045655
nuscene_adjusted_x+std_1,17.29512882232666,0.5612473905086517,0.4721627324819565,7.714468607915111,2.654485559463501,0.7940698623657241,0.1229557991027832,0.6175082206726081,0.030890750885010476
nuscene_adjusted_y+std,16.707861042022706,0.5487646102905274,0.49443774223327636,7.280153781104319,1.2459875106811524,0.20680208206177042,-0.46431198120117045,0.030240440368654475,-0.5563770294189432
nuscene_adjusted_yaw+std,16.738874626159667,0.5520485669374466,0.4931768238544464,7.430420566273584,1.243197989463806,0.23781566619873118,-0.4332983970642097,0.061254024505615234,-0.5253634452819824
nuscene_adjusted_yaw+std_1,17.374083614349367,0.5685713052749634,0.46736544370651245,7.481005858967154,2.5910950660705567,0.8730246543884306,0.2019105911254897,0.6964630126953146,0.10984554290771698
nuscene_adjusted_z+std,16.587702369689943,0.542571046948433,0.4959046870470047,7.675619248663575,1.2519584894180298,0.08664340972900675,-0.5844706535339341,-0.0899182319641092,-0.6765357017517069
nuscene_adjusted_z+std_1,17.133186721801756,0.5563928335905075,0.4727752447128296,7.625986436987782,2.6303050041198732,0.6321277618408203,-0.03898630142212056,0.45556612014770437,-0.1310513496398933
