Camera,Parameter,Statistic,File1_Value,File2_Value,Difference,File1,File2
CAM_FRONT_RIGHT,z,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,z,Min,-1.507845401763916,143.7708282470703,145.27867364883423,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,z,Max,-1.507845401763916,143.7708282470703,145.27867364883423,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,z,Median,-1.507845401763916,143.7708282470703,145.27867364883423,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,pitch,Mean,2.5653949420042665,-2.1367362088328905,-4.7021311508371575,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,pitch,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,pitch,Min,2.5653949420042665,-2.1367362088328905,-4.7021311508371575,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,pitch,Max,2.5653949420042665,-2.1367362088328905,-4.7021311508371575,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,pitch,Median,2.5653949420042665,-2.1367362088328905,-4.7021311508371575,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,yaw,Mean,1.570796290139622,1.5707963033535,1.3213877991802292e-08,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,yaw,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,yaw,Min,1.570796290139622,1.5707963033535,1.3213877991802292e-08,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,yaw,Max,1.570796290139622,1.5707963033535,1.3213877991802292e-08,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,yaw,Median,1.570796290139622,1.5707963033535,1.3213877991802292e-08,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,fov,Mean,70.0,90.0,20.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,fov,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,fov,Min,70.0,90.0,20.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,fov,Max,70.0,90.0,20.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,fov,Median,70.0,90.0,20.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,roll,Mean,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,roll,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,roll,Min,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,roll,Max,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_RIGHT,roll,Median,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,x,Mean,0.6519070267677307,-1.7285394668579102,-2.380446493625641,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,x,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,x,Min,0.6519070267677307,-1.7285394668579102,-2.380446493625641,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,x,Max,0.6519070267677307,-1.7285394668579102,-2.380446493625641,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,x,Median,0.6519070267677307,-1.7285394668579102,-2.380446493625641,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,y,Mean,-0.4973630309104919,-7.029478549957275,-6.5321155190467834,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,y,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,y,Min,-0.4973630309104919,-7.029478549957275,-6.5321155190467834,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,y,Max,-0.4973630309104919,-7.029478549957275,-6.5321155190467834,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,y,Median,-0.4973630309104919,-7.029478549957275,-6.5321155190467834,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,z,Mean,-1.5085220336914062,143.7652587890625,145.2737808227539,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,z,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,z,Min,-1.5085220336914062,143.7652587890625,145.2737808227539,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,z,Max,-1.5085220336914062,143.7652587890625,145.2737808227539,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,z,Median,-1.5085220336914062,143.7652587890625,145.2737808227539,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,pitch,Mean,0.6067092315147118,2.1757063551982245,1.5689971236835127,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,pitch,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,pitch,Min,0.6067092315147118,2.1757063551982245,1.5689971236835127,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,pitch,Max,0.6067092315147118,2.1757063551982245,1.5689971236835127,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,pitch,Median,0.6067092315147118,2.1757063551982245,1.5689971236835127,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,yaw,Mean,1.5707963627053048,1.5707963019365507,-6.07687540288282e-08,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,yaw,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,yaw,Min,1.5707963627053048,1.5707963019365507,-6.07687540288282e-08,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,yaw,Max,1.5707963627053048,1.5707963019365507,-6.07687540288282e-08,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,yaw,Median,1.5707963627053048,1.5707963019365507,-6.07687540288282e-08,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,fov,Mean,70.0,90.0,20.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,fov,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,fov,Min,70.0,90.0,20.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,fov,Max,70.0,90.0,20.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,fov,Median,70.0,90.0,20.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,roll,Mean,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,roll,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,roll,Min,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,roll,Max,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_FRONT_LEFT,roll,Median,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
